word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0x6171369882,5,269,53.8,5.0,269,20,140,Transcription,4.86,1.7583726700607206e-14,20,1,Transcription(4.86x)
0x61713698,4,283,56.6,5.0,283,24,147,Transcription,4.86,3.0645655310369683e-17,24,1,Transcription(4.86x)
0x617136,3,315,63.0,5.0,315,23,148,Transcription,4.86,1.5007145693144815e-16,23,1,Transcription(4.86x)
0x771661,3,45,9.0,5.0,45,5,17,Transcription,4.86,0.0003692511691832579,5,1,Transcription(4.86x)
0xF51759,3,42,8.4,5.0,42,9,17,Transcription,4.86,6.580883170314391e-07,9,1,Transcription(4.86x)
0x6908D5,3,26,5.2,5.0,26,7,16,Transcription,4.86,1.5600019500226283e-05,7,1,Transcription(4.86x)
0x2171369882,5,122,24.4,5.0,122,9,61,Transcription,4.86,6.580883170314391e-07,9,1,Transcription(4.86x)
0x21713698,4,129,25.8,5.0,129,9,66,Transcription,4.86,6.580883170314391e-07,9,1,Transcription(4.86x)
0x09977166,4,35,7.0,5.0,35,6,24,Transcription,4.86,7.591087417095647e-05,6,1,Transcription(4.86x)
0x217136,3,175,35.0,5.0,175,14,92,Transcription,4.86,2.3897834069629653e-10,14,1,Transcription(4.86x)
0x987266,3,49,9.8,5.0,49,15,28,Transcription,4.86,4.8965331802935974e-11,15,1,Transcription(4.86x)
0x099771,3,35,7.0,5.0,35,7,20,Transcription,4.86,1.5600019500226283e-05,7,1,Transcription(4.86x)
0xA9F7DA7D,4,35,7.0,5.0,35,6,10,Structural,25.96,0.00013496356040813243,3,2,Structural(25.96x); Cell adhesion(11.37x)
