word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0xA28A,2,166,17.4,9.6,166,51,119,RNA processing,3.18,0.0058218260121252535,7,1,RNA processing(3.18x)
0xCB25,2,243,25.5,9.5,243,77,165,Transcription,2.61,5.675755076860084e-10,39,1,Transcription(2.61x)
0x1C81,2,52,5.5,9.5,52,14,27,Unclassified,0,1.0,0,0,
0xCA25,2,73,7.7,9.5,73,22,50,Cell adhesion,6.77,0.00926169618076574,3,1,Cell adhesion(6.77x)
0xA690,2,91,9.5,9.5,91,32,60,Cell adhesion,6.2,0.00362384715125015,4,2,Cell adhesion(6.2x); Transcription(2.42x)
0x5CAD,2,80,8.4,9.5,80,24,54,Cell adhesion,8.27,0.0012116181826284558,4,1,Cell adhesion(8.27x)
0x7987,2,103,11.0,9.4,103,33,62,RNA processing,6.32,6.9127111426279156e-06,9,2,RNA processing(6.32x); Nuc acid bind(3.06x)
0xB4DB,2,114,12.1,9.4,114,47,75,Kinase,3.3,0.004653920019179249,7,2,Kinase(3.3x); Transcription(2.08x)
0x5B9E,2,67,7.2,9.3,67,17,54,Unclassified,0,1.0,0,0,
0x2582,2,340,37.1,9.2,340,116,256,Cell adhesion,3.42,0.0021840489664014355,8,3,Cell adhesion(3.42x); Cell cycle(3.19x); Nuc acid bind(1.8x)
0x8A20,2,136,14.7,9.2,136,35,88,Kinase,3.8,0.004255205701267937,6,1,Kinase(3.8x)
0xB69A,2,151,16.4,9.2,151,55,97,Transcription,2.06,0.0003141231453991858,22,1,Transcription(2.06x)
0x596B,2,164,17.9,9.2,164,53,131,Transport,2.06,0.007921383029704096,13,1,Transport(2.06x)
0x7567,2,131,14.3,9.2,131,47,98,Unclassified,0,1.0,0,0,
0x77D9,2,52,5.7,9.1,52,11,30,Cytoskeleton,11.85,0.0017159800494215877,3,1,Cytoskeleton(11.85x)
0xD34D,2,1414,154.8,9.1,1414,364,820,Cell adhesion,2.45,0.00029314872411175343,18,4,Cell adhesion(2.45x); Chromatin(1.89x); Signaling(1.64x); Transcription(1.61x)
0x5B90,2,142,15.5,9.1,142,40,93,Cytoskeleton,5.43,0.002055257528711468,5,1,Cytoskeleton(5.43x)
0xCB2B,2,73,8.1,9.0,73,21,47,Nuc acid bind,3.09,0.001103526563301402,9,1,Nuc acid bind(3.09x)
0x2581,2,175,19.5,9.0,175,52,127,Cell adhesion,4.77,0.0036965194791119343,5,1,Cell adhesion(4.77x)
0x77D3,2,114,12.6,9.0,114,29,62,Kinase,3.82,0.00872704824573368,5,1,Kinase(3.82x)
0xDE79,2,371,41.6,8.9,371,117,241,Cytoskeleton,3.34,0.0013779257612611309,9,3,Cytoskeleton(3.34x); Kinase(2.46x); Signaling(1.73x)
0xDC9D,2,250,28.2,8.9,250,97,185,Unclassified,0,1.0,0,0,
0x6882,2,116,13.0,8.9,116,27,83,Signaling,2.6,0.008301014801609786,8,1,Signaling(2.6x)
0xA698,2,100,11.2,8.9,100,31,61,Unclassified,0,1.0,0,0,
0xB4D3,2,72,8.1,8.9,72,27,57,Unclassified,0,1.0,0,0,
0x5968,2,367,41.8,8.8,367,108,269,Unclassified,0,1.0,0,0,
0xDC8D,2,121,13.7,8.8,121,35,95,Transcription,2.21,0.0012183396021029846,15,1,Transcription(2.21x)
0xB5D7,2,174,19.8,8.8,174,71,125,Transcription,2.11,2.2814887231372425e-05,29,1,Transcription(2.11x)
0x756B,2,108,12.3,8.8,108,32,77,Unclassified,0,1.0,0,0,
0x5C82,2,62,7.1,8.8,62,21,42,Unclassified,0,1.0,0,0,
0x6DB6,2,2193,253.5,8.7,2193,618,1128,Transcription,2.19,5.168151298358325e-46,263,2,Transcription(2.19x); Chromatin(1.67x)
0xD581,2,221,25.5,8.7,221,73,156,Cytoskeleton,3.57,0.006365624509792642,6,1,Cytoskeleton(3.57x)
0x71F7,2,105,12.1,8.7,105,41,70,Kinase,3.25,0.009412620396663941,6,2,Kinase(3.25x); Transcription(2.14x)
0x89D8,2,93,10.8,8.6,93,32,73,Kinase,4.16,0.00265970334756055,6,2,Kinase(4.16x); Chromatin(3.23x)
0x0825,2,74,8.6,8.6,74,28,58,Unclassified,0,1.0,0,0,
0x259D,2,407,48.2,8.5,407,106,262,Cell adhesion,3.28,0.0052424038715046485,7,2,Cell adhesion(3.28x); Signaling(1.74x)
0x596C,2,205,24.1,8.5,205,75,157,Unclassified,0,1.0,0,0,
0xD5B1,2,125,14.7,8.5,125,41,82,Ion channel,2.93,0.004883057718920617,8,1,Ion channel(2.93x)
0x756F,2,57,6.7,8.5,57,19,44,Unclassified,0,1.0,0,0,
