word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0x2CB2CB2CB2,5,37,7.4,5.0,37,31,37,Transcription,3.2,6.973380979333484e-07,18,1,Transcription(3.2x)
0xCB2CB2CB,4,48,9.6,5.0,48,35,48,Transcription,3.3,3.539555319717116e-08,21,2,Transcription(3.3x); Chromatin(2.85x)
0x2CB2CB2C,4,43,8.6,5.0,43,35,43,Transcription,3.15,2.3523463953191455e-07,20,2,Transcription(3.15x); Chromatin(2.85x)
0xB2CB2CB2,4,49,9.8,5.0,49,39,49,Kinase,3.95,0.001542653120097566,7,2,Kinase(3.95x); Transcription(3.39x)
0xCB2CB2,3,72,14.4,5.0,72,51,72,Kinase,3.45,0.001781235722858597,8,3,Kinase(3.45x); Transcription(3.35x); Chromatin(2.45x)
0x2CB2CB,3,68,13.6,5.0,68,49,68,Transcription,3.6,2.5671528482926947e-13,32,1,Transcription(3.6x)
0xB2CB2C,3,63,12.6,5.0,63,47,63,Transcription,3.51,3.608803607493083e-12,30,2,Transcription(3.51x); Kinase(3.28x)
0x2881,2,61,12.1,5.0,61,42,61,Proteolysis,5.46,7.749773003803943e-07,12,2,Proteolysis(5.46x); Nuc acid bind(2.75x)
0x4D0A,2,81,16.0,5.0,81,61,81,Proteolysis,10.96,1.0424167142238373e-30,35,2,Proteolysis(10.96x); Nuc acid bind(3.63x)
0xA28A28,3,24,4.8,5.0,24,13,24,Unclassified,0,1.0,0,0,
0x41041041,4,28,5.6,5.0,28,20,28,Transcription,3.3,3.4921201077167205e-05,12,1,Transcription(3.3x)
0x041041,3,40,8.0,5.0,40,29,40,Transcription,2.85,4.0177581549802975e-05,15,1,Transcription(2.85x)
0x410410,3,39,7.8,5.0,39,30,39,Transcription,3.12,2.301775558954837e-06,17,1,Transcription(3.12x)
0x7420B9,3,26,5.2,5.0,26,26,26,Proteolysis,19.11,5.576632400538919e-35,26,2,Proteolysis(19.11x); Nuc acid bind(4.82x)
0xD04576,3,26,5.2,5.0,26,26,26,Proteolysis,19.11,5.576632400538919e-35,26,2,Proteolysis(19.11x); Nuc acid bind(4.82x)
0x8A28A2,3,28,5.6,5.0,28,14,28,Unclassified,0,1.0,0,0,
0xB2CB2CB2CB,5,33,6.6,5.0,33,26,33,Kinase,4.24,0.005443746382455453,5,2,Kinase(4.24x); Transcription(3.39x)
0x10410410,4,24,4.8,5.0,24,19,24,Transcription,3.19,0.00011851124606572062,11,1,Transcription(3.19x)
0x104104,3,33,6.6,5.0,33,26,33,Transcription,2.75,0.0002083689643795099,13,1,Transcription(2.75x)
0x1041041041,5,20,4.0,5.0,20,16,20,Transcription,3.1,0.000684381404406224,9,1,Transcription(3.1x)
0xD75D75,3,38,7.6,5.0,38,17,38,Cell adhesion,48.49,0.0006746906688686295,2,1,Cell adhesion(48.49x)
